id,frame,x,y
0,1,64,186
1,1,65,194
2,1,66,202
3,1,66,209
4,1,67,218
5,1,69,225
6,1,73,230
7,1,80,233
8,1,89,233
9,1,99,232
10,1,110,231
11,1,120,228
12,1,128,223
13,1,133,215
14,1,134,206
15,1,134,196
16,1,134,186
17,1,63,167
18,1,65,161
19,1,70,158
20,1,76,156
21,1,81,158
22,1,92,158
23,1,99,155
24,1,107,155
25,1,114,159
26,1,119,166
27,1,86,168
28,1,85,171
29,1,84,175
30,1,83,178
31,1,80,190
32,1,83,190
33,1,86,190
34,1,89,190
35,1,93,189
36,1,69,175
37,1,71,170
38,1,76,170
39,1,80,173
40,1,76,174
41,1,72,175
42,1,98,172
43,1,102,169
44,1,106,169
45,1,111,173
46,1,106,173
47,1,102,173
48,1,77,210
49,1,79,202
50,1,83,198
51,1,86,198
52,1,89,197
53,1,94,201
54,1,99,208
55,1,94,207
56,1,90,208
57,1,87,208
58,1,84,209
59,1,80,210
60,1,80,208
61,1,83,204
62,1,86,203
63,1,89,203
64,1,97,206
65,1,89,203
66,1,87,204
67,1,84,204
0,2,67,183
1,2,66,190
2,2,66,197
3,2,66,204
4,2,67,212
5,2,69,218
6,2,73,223
7,2,79,226
8,2,87,228
9,2,96,228
10,2,106,227
11,2,115,225
12,2,123,220
13,2,128,213
14,2,130,204
15,2,131,195
16,2,132,185
17,2,68,166
18,2,69,160
19,2,73,157
20,2,78,156
21,2,82,158
22,2,93,158
23,2,100,156
24,2,107,157
25,2,114,161
26,2,118,167
27,2,87,167
28,2,85,170
29,2,84,173
30,2,82,176
31,2,80,185
32,2,82,186
33,2,85,186
34,2,88,186
35,2,92,186
36,2,73,172
37,2,75,168
38,2,78,168
39,2,82,171
40,2,78,171
41,2,75,172
42,2,98,171
43,2,101,168
44,2,106,169
45,2,109,172
46,2,106,172
47,2,101,172
48,2,78,204
49,2,79,196
50,2,82,193
51,2,85,193
52,2,88,193
53,2,93,197
54,2,98,205
55,2,93,207
56,2,88,207
57,2,85,207
58,2,82,207
59,2,79,206
60,2,79,203
61,2,82,197
62,2,85,198
63,2,88,198
